Results of Simulation 1

Time	Ccpt_out	Qu_out	Qu_met_out
26.5	0.0402624	2076.5	886.407
26.6	0.0401034	2081.22	891.228
26.7	0.0399451	2085.91	896.048
26.8	0.0397874	2090.59	900.868
26.9	0.0396303	2095.25	905.688
27	0.0394738	2099.89	910.507
27.1	0.039318	2104.51	915.326
27.2	0.0391628	2109.11	920.144
27.3	0.0390082	2113.7	924.962
27.4	0.0388542	2118.26	929.779
27.5	0.0387008	2122.81	934.595
27.6	0.038548	2127.34	939.41
27.7	0.0383958	2131.86	944.225
27.8	0.0382442	2136.35	949.038
27.9	0.0380932	2140.83	953.851
28	0.0379428	2145.29	958.662
28.1	0.037793	2149.73	963.472
28.2	0.0376438	2154.16	968.281
28.3	0.0374952	2158.56	973.089
28.4	0.0373472	2162.95	977.895
28.5	0.0371997	2167.33	982.699
28.6	0.0370529	2171.68	987.503
28.7	0.0369066	2176.02	992.304
28.8	0.0367609	2180.34	997.104
28.9	0.0366158	2184.64	1001.9
29	0.0364712	2188.93	1006.7
29.1	0.0363272	2193.2	1011.49
29.2	0.0361838	2197.45	1016.29
29.3	0.036041	2201.69	1021.08
29.4	0.0358987	2205.91	1025.87
29.5	0.0357569	2210.11	1030.65
29.6	0.0356158	2214.3	1035.44
29.7	0.0354752	2218.47	1040.22
29.8	0.0353351	2222.62	1045
29.9	0.0351956	2226.76	1049.78
30	0.0350567	2230.88	1054.56
30.1	0.0349183	2234.98	1059.33
30.2	0.0347804	2239.07	1064.1
30.3	0.0346431	2243.15	1068.87
30.4	0.0345063	2247.2	1073.63
30.5	0.0343701	2251.24	1078.4
30.6	0.0342344	2255.27	1083.16
30.7	0.0340992	2259.27	1087.92
30.8	0.0339646	2263.27	1092.67
30.9	0.0338305	2267.24	1097.42
31	0.033697	2271.2	1102.17
31.1	0.0335639	2275.15	1106.92
31.2	0.0334314	2279.08	1111.66
31.3	0.0332994	2282.99	1116.4
31.4	0.033168	2286.89	1121.14
31.5	0.033037	2290.77	1125.87
31.6	0.0329066	2294.64	1130.61
31.7	0.0327767	2298.49	1135.33
31.8	0.0326473	2302.33	1140.06
31.9	0.0325184	2306.15	1144.78
32	0.03239	2309.96	1149.5
32.1	0.0322622	2313.75	1154.21
32.2	0.0321348	2317.53	1158.92
32.3	0.0320079	2321.29	1163.63
32.4	0.0318816	2325.04	1168.33
32.5	0.0317557	2328.77	1173.03
32.6	0.0316303	2332.49	1177.73
32.7	0.0315054	2336.19	1182.42
32.8	0.0313811	2339.88	1187.11
32.9	0.0312572	2343.56	1191.8
33	0.0311338	2347.22	1196.48
33.1	0.0310109	2350.86	1201.16
33.2	0.0308884	2354.49	1205.83
33.3	0.0307665	2358.11	1210.5
33.4	0.030645	2361.71	1215.17
33.5	0.030524	2365.3	1219.83
33.6	0.0304035	2368.87	1224.49
33.7	0.0302835	2372.43	1229.14
33.8	0.0301639	2375.98	1233.79
33.9	0.0300448	2379.51	1238.44
34	0.0299262	2383.03	1243.08
34.1	0.0298081	2386.53	1247.71
34.2	0.0296904	2390.02	1252.35
34.3	0.0295732	2393.5	1256.98
34.4	0.0294564	2396.96	1261.6
34.5	0.0293401	2400.41	1266.22
34.6	0.0292243	2403.84	1270.83
34.7	0.0291089	2407.26	1275.44
34.8	0.028994	2410.67	1280.05
34.9	0.0288795	2414.07	1284.65
35	0.0287655	2417.45	1289.25
35.1	0.028652	2420.82	1293.84
35.2	0.0285389	2424.17	1298.43
35.3	0.0284262	2427.51	1303.01
35.4	0.028314	2430.84	1307.59
35.5	0.0282022	2434.16	1312.16
35.6	0.0280908	2437.46	1316.73
35.7	0.0279799	2440.75	1321.29
35.8	0.0278695	2444.02	1325.85
35.9	0.0277594	2447.28	1330.4
36	0.0276499	2450.53	1334.95
36.1	0.0275407	2453.77	1339.5
36.2	0.027432	2457	1344.04
36.3	0.0273237	2460.21	1348.57
36.4	0.0272158	2463.41	1353.1
36.5	0.0271083	2466.59	1357.62
36.6	0.0270013	2469.77	1362.14
36.7	0.0268947	2472.93	1366.65
36.8	0.0267885	2476.08	1371.16
36.9	0.0266828	2479.21	1375.66
37	0.0265774	2482.34	1380.16
37.1	0.0264725	2485.45	1384.65
37.2	0.026368	2488.55	1389.14
37.3	0.0262639	2491.64	1393.62
37.4	0.0261602	2494.71	1398.1
37.5	0.0260569	2497.77	1402.57
37.6	0.0259541	2500.82	1407.04
37.7	0.0258516	2503.86	1411.5
37.8	0.0257495	2506.89	1415.95
37.9	0.0256479	2509.9	1420.4
38	0.0255466	2512.91	1424.84
38.1	0.0254458	2515.9	1429.28
38.2	0.0253453	2518.88	1433.71
38.3	0.0252453	2521.84	1438.14
38.4	0.0251456	2524.8	1442.56
38.5	0.0250463	2527.74	1446.98
38.6	0.0249474	2530.68	1451.39
38.7	0.0248489	2533.6	1455.79
38.8	0.0247508	2536.51	1460.19
38.9	0.0246531	2539.4	1464.58
39	0.0245558	2542.29	1468.97
39.1	0.0244588	2545.17	1473.35
39.2	0.0243623	2548.03	1477.73
39.3	0.0242661	2550.88	1482.1
39.4	0.0241703	2553.72	1486.46
39.5	0.0240749	2556.55	1490.82
39.6	0.0239798	2559.37	1495.17
39.7	0.0238852	2562.18	1499.52
39.8	0.0237909	2564.98	1503.86
39.9	0.0236969	2567.76	1508.19
40	0.0236034	2570.54	1512.52
40.1	0.0235102	2573.3	1516.84
40.2	0.0234174	2576.05	1521.16
40.3	0.0233249	2578.79	1525.47
40.4	0.0232329	2581.52	1529.77
40.5	0.0231411	2584.24	1534.07
40.6	0.0230498	2586.95	1538.36
40.7	0.0229588	2589.65	1542.65
40.8	0.0228681	2592.34	1546.92
40.9	0.0227778	2595.02	1551.2
41	0.0226879	2597.68	1555.47
41.1	0.0225984	2600.34	1559.73
41.2	0.0225091	2602.99	1563.98
41.3	0.0224203	2605.62	1568.23
41.4	0.0223318	2608.25	1572.47
41.5	0.0222436	2610.86	1576.71
41.6	0.0221558	2613.47	1580.94
41.7	0.0220683	2616.06	1585.16
41.8	0.0219812	2618.64	1589.38
41.9	0.0218944	2621.22	1593.59
42	0.021808	2623.78	1597.79
42.1	0.0217219	2626.33	1601.99
42.2	0.0216361	2628.88	1606.18
42.3	0.0215507	2631.41	1610.37
42.4	0.0214656	2633.93	1614.55
42.5	0.0213809	2636.45	1618.72
42.6	0.0212965	2638.95	1622.89
42.7	0.0212124	2641.44	1627.05
42.8	0.0211286	2643.93	1631.2
42.9	0.0210452	2646.4	1635.35
43	0.0209621	2648.86	1639.49
43.1	0.0208794	2651.32	1643.62
43.2	0.0207969	2653.76	1647.75
43.3	0.0207148	2656.2	1651.87
43.4	0.0206331	2658.62	1655.98
43.5	0.0205516	2661.04	1660.09
43.6	0.0204705	2663.44	1664.19
43.7	0.0203897	2665.84	1668.28
43.8	0.0203092	2668.23	1672.37
43.9	0.020229	2670.61	1676.45
44	0.0201491	2672.97	1680.53
44.1	0.0200696	2675.33	1684.6
44.2	0.0199903	2677.68	1688.66
44.3	0.0199114	2680.02	1692.71
44.4	0.0198328	2682.36	1696.76
44.5	0.0197545	2684.68	1700.8
44.6	0.0196765	2686.99	1704.84
44.7	0.0195988	2689.29	1708.86
44.8	0.0195215	2691.59	1712.89
44.9	0.0194444	2693.87	1716.9
45	0.0193676	2696.15	1720.91
45.1	0.0192912	2698.42	1724.91
45.2	0.019215	2700.68	1728.9
45.3	0.0191391	2702.93	1732.89
45.4	0.0190636	2705.17	1736.87
45.5	0.0189883	2707.4	1740.85
45.6	0.0189134	2709.62	1744.81
45.7	0.0188387	2711.84	1748.77
45.8	0.0187643	2714.04	1752.73
45.9	0.0186902	2716.24	1756.67
46	0.0186164	2718.43	1760.61
46.1	0.0185429	2720.61	1764.55
46.2	0.0184697	2722.78	1768.47
46.3	0.0183968	2724.94	1772.39
46.4	0.0183242	2727.09	1776.31
46.5	0.0182518	2729.24	1780.21
46.6	0.0181798	2731.38	1784.11
46.7	0.018108	2733.5	1788
46.8	0.0180365	2735.62	1791.89
46.9	0.0179653	2737.74	1795.77
47	0.0178944	2739.84	1799.64
47.1	0.0178237	2741.93	1803.51
47.2	0.0177534	2744.02	1807.36
47.3	0.0176833	2746.1	1811.21
47.4	0.0176135	2748.17	1815.06
47.5	0.0175439	2750.23	1818.9
47.6	0.0174747	2752.29	1822.73
47.7	0.0174057	2754.33	1826.55
47.8	0.017337	2756.37	1830.37
47.9	0.0172685	2758.4	1834.18
48	0.0172004	2760.42	1837.98


